Supplier 1,Supplier Part Number 1,Quantity,Designator

"","","1","CANA1"
"","","1","F1"
"","","1","J1"
"","","1","U10"
"","","1","U12"
"","","1","U14"
"","","1","U15"
"","","4","K1, K2, K3, K4"
"Arrow","CD214A-B1100LF","1","D1"
"Arrow","GRM188R71H104KA93D","25","C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C20, C21, C22, C24, C25, C26, C27, C41, C43, C44, C48, C50, C51, C52, C53"
"Arrow","GRM188R71H472KA01D","1","C45"
"Arrow","SN65HVD72DGKR","1","U16"
"Digi-Key","3M5607CT-ND","1","U11"
"Digi-Key","36-1042-ND","1","BAT1"
"Digi-Key","296-27780-1-ND","1","U2"
"Digi-Key","296-44874-1-ND","1","U1"
"Digi-Key","311-1.00KHRCT-ND","1","R58"
"Digi-Key","311-1.00MHRDKR-ND","1","R57"
"Digi-Key","311-3.30KHRCT-ND","2","R7, R17"
"Digi-Key","311-10.0KHRCT-ND","11","R1, R5, R8, R9, R11, R18, R19, R21, R48, R52, R59"
"Digi-Key","311-20.0KHRDKR-ND","1","R12"
"Digi-Key","311-100HRCT-ND","6","R6, R10, R13, R14, R15, R16"
"Digi-Key","311-100KHRCT-ND","5","R3, R47, R49, R50, R51"
"Digi-Key","311-120HRDKR-ND","1","R20"
"Digi-Key","311-150KHRDKR-ND","1","R4"
"Digi-Key","311-470KHRDKR-ND","1","R2"
"Digi-Key","311-1785-1-ND","1","C42"
"Digi-Key","475-1410-1-ND","4","D3, D4, D5, D6"
"Digi-Key","490-1411-1-ND","2","C47, C49"
"Digi-Key","490-13248-1-ND","10","C1, C2, C3, C4, C8, C19, C23, C28, C40, C46"
"Digi-Key","541-1235-6-ND","1","L1"
"Digi-Key","587-1879-1-ND","1","B1"
"Digi-Key","587-2170-1-ND","1","L3"
"Digi-Key","609-4618-6-ND","1","J2"
"Digi-Key","668-1207-6-ND","1","U4"
"Digi-Key","728-1057-ND","2","BAT2, BAT3"
"Digi-Key","828-1079-1-ND","2","U3, U7"
"Digi-Key","828-1082-1-ND","2","U8, U9"
"Digi-Key","887-1507-6-ND","1","X1"
"Digi-Key","1276-7076-6-ND","3","C5, C6, C7"
"Digi-Key","ADXL375BCCZ-RL7CT-ND","2","U5, U6"
"Digi-Key","IRFML8244TRPBFCT-ND","1","Q3"
"Digi-Key","MBR0520LDKR-ND","2","D2, D7"
"Digi-Key","SAM8796-ND","1","P1"
"Digi-Key","SI7232DN-T1-GE3DKR-ND","1","Q1"
"Digi-Key","SI7615ADN-T1-GE3DKR-ND","1","Q2"
"Farnell","1269406","1","U13"
